id,poste,ville,departement,region,lieux_poste,etablissements,finess,mois_parution,annee_parution,categorie,type_structure,type_etablissement,latitude,longitude,latitude_finess,longitude_finess,qualite_coordonnees,source_coordonnees,source,observations,texte_source_poste,raison_sociale_finess,qualite_appariement_finess
1,Directeur / directrice,Montauban-de-Bretagne,Ille-et-Vilaine,Bretagne,Montauban-de-Bretagne,EHPAD de Montauban-de-Bretagne (Ille-et-Vilaine),350043204,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.19430944354767,-2.043538126926865,48.19430944354767,-2.043538126926865,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Montauban-de-Bretagne (Ille-et-Vilaine),SAAD ADMR MONTAUBAN DE BRETAGNE,Très probable
2,Directeur / directrice,Bollezeele,Nord,Hauts-de-France,Bollezeele,EHPAD de Bollezeele et d’Esquelbecq (Nord),590783288,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,50.86830243647888,2.3194474970606924,50.86830243647888,2.3194474970606924,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Bollezeele et d’Esquelbecq (Nord),EHPAD RESIDENCE SAINT-LOUIS EHPAD RESIDENCE SAINT-LOUIS A BOLLEZEELE,Très probable
3,Directeur / directrice,Saint-Trivier-de-Courtes,Ain,Auvergne-Rhône-Alpes,Saint-Trivier-de-Courtes,EHPAD de Saint-Trivier-de-Courtes (Ain),010007425,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,46.457801682162696,5.078020538943004,46.457801682162696,5.078020538943004,Coordonnées FINESS géolocalisées,"2,ATLASANTE,91,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Saint-Trivier-de-Courtes (Ain),SSIAD EHPAD SAINT-TRIVIER-DE-COURTES,Très probable
4,Directeur / directrice,Excideuil,Dordogne,Nouvelle-Aquitaine,Excideuil,centre hospitalier d’Excideuil (Dordogne),240000455,4,2025,Chef d'établissement,Sanitaire,Établissement sanitaire,45.33591592751645,1.0524616137100495,45.33591592751645,1.0524616137100495,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,centre hospitalier d’Excideuil (Dordogne),CENTRE HOSPITALIER D'EXCIDEUIL CENTRE HOSPITALIER D'EXCIDEUIL,Très probable
5,Directeur / directrice,Saint-Julien-Chapteuil,Haute-Loire,Auvergne-Rhône-Alpes,Saint-Julien-Chapteuil,EHPAD de Saint-Julien-Chapteuil (Haute-Loire),430002147,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,45.03519506775423,4.065207381861025,45.03519506775423,4.065207381861025,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Saint-Julien-Chapteuil (Haute-Loire),EHPAD SAINT JULIEN CHAPTEUIL EHPAD SAINT JULIEN CHAPTEUIL,Très probable
6,Directeur / directrice,Chizé,Deux-Sèvres,Nouvelle-Aquitaine,Chizé,EPMS de Chizé (Deux-Sèvres),790013510,4,2025,Chef d'établissement,Médico-social,EPMS / EPSMS,46.11993261310263,-0.3459829462003646,46.11993261310263,-0.3459829462003646,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EPMS de Chizé (Deux-Sèvres),FOYER DE VIE LES DEUX CHENES,Très probable
7,Directeur / directrice,Saint-Joseph,Martinique,Martinique,Saint-Joseph,centre hospitalier Romain Blondet à Saint-Joseph (Martinique),970200077,4,2025,Chef d'établissement,Sanitaire,Établissement sanitaire,14.668616983130098,-61.048436887281966,14.668616983130098,-61.048436887281966,Coordonnées FINESS géolocalisées,"2,ATLASANTE,84,IGN,BD_ADRESSE,V2.2,UTM_N20",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,centre hospitalier Romain Blondet à Saint-Joseph (Martinique),HOPITAL ROMAIN BLONDET,Très probable
8,Directeur / directrice,Thorigné-sur-Doué,Sarthe,Pays de la Loire,Thorigné-sur-Doué,EHPAD de Thorigné-sur-Doué et de Vibraye (Sarthe),720002179,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.89422384486393,0.0681331413517429,47.89422384486393,0.0681331413517429,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Thorigné-sur-Doué et de Vibraye (Sarthe),EHPAD CEGVS EHPAD CEGVS ROEZE SUR SARTHE,Probable - à contrôler
9,Directeur / directrice,Senonches,Eure-et-Loir,Centre-Val de Loire,Senonches,EHPAD de Senonches et de Brezolles (Eure-et-Loir),280505603,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.564017926792246,1.0371846377035328,48.564017926792246,1.0371846377035328,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Senonches et de Brezolles (Eure-et-Loir),MAS DE SENONCHES MAS DE SENONCHES,Très probable
10,Directeur / directrice,Non renseigné,Var,Provence-Alpes-Côte d'Azur,Var,Pôle gérontologique du Riou Blanc au Seillans (Var),830015319,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,43.56966849460539,6.684366250785275,43.56966849460539,6.684366250785275,Coordonnées FINESS géolocalisées,"2,ATLASANTE,84,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,Pôle gérontologique du Riou Blanc au Seillans (Var),EHPAD LES JONQUIERS EHPAD LES JONQUIERS (EX.PÔLE GÉRONTOLOGIQUE DU RIOU BLANC),Probable - à contrôler
11,Directeur / directrice,Chalabre,Aude,Occitanie,Chalabre,EHPAD de Chalabre (Aude),110780723,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,42.98192557249384,2.0002926080482037,42.98192557249384,2.0002926080482037,Coordonnées FINESS géolocalisées,"2,ATLASANTE,84,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Chalabre (Aude),EHPAD LES HAUTS DE BON ACCUEIL EHPAD LES HAUTS DE BON ACCUEIL CHALABRE,Très probable
12,Directeur / directrice,Vaucouleurs,Meuse,Grand Est,Vaucouleurs,EHPAD de Vaucouleurs (Meuse),550000210,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.60544437541511,5.664049040764513,48.60544437541511,5.664049040764513,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Vaucouleurs (Meuse),EHPAD VALLEE DE LA MEUSE - VAUCOULEURS EHPAD VALLEE DE LA MEUSE - SITE VAUCOULEURS,Très probable
13,Directeur / directrice,Saint-Martin-d’Uriage,Isère,Auvergne-Rhône-Alpes,Saint-Martin-d’Uriage,centre hospitalier rhumatologique à Saint-Martin-d’Uriage et EHPAD de Bourg-d’Oisans et de Vizille (Isère),380000018,4,2025,Chef d'établissement,Sanitaire,EHPAD sanitaire,45.14144157573234,5.834808289001432,45.14144157573234,5.834808289001432,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,centre hospitalier rhumatologique à Saint-Martin-d’Uriage et EHPAD de Bourg-d’Oisans et de Vizille (Isère),CH RHUMATOLOGIQUE D'URIAGE CENTRE HOSPITALIER RHUMATOLOGIQUE D'URIAGE,Très probable
14,Directeur / directrice,Savines-le-Lac,Hautes-Alpes,Provence-Alpes-Côte d'Azur,Savines-le-Lac,EHPAD de Savines-le-Lac (Hautes-Alpes),050002054,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,44.52591013455186,6.40497781360472,44.52591013455186,6.40497781360472,Coordonnées FINESS géolocalisées,"3,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Savines-le-Lac (Hautes-Alpes),EHPAD FRANCOIS PAVIE EHPAD FRANCOIS PAVIE,Probable - à contrôler
15,Directeur / directrice,Varzy,Nièvre,Bourgogne-Franche-Comté,Varzy,EHPAD de Varzy (Nièvre),580780724,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.36070377920181,3.388530343919633,47.36070377920181,3.388530343919633,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Varzy (Nièvre),EHPAD LES PETITES PROMENADES EHPAD LES PETITES PROMENADES VARZY,Très probable
16,Directeur / directrice,Longvic,Côte-d’Or,Bourgogne-Franche-Comté,Longvic,EHPAD de Longvic (Côte-d’Or),210985362,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.29757871211604,5.052678134182358,47.29757871211604,5.052678134182358,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Longvic (Côte-d’Or),EHPAD MARCEL JACQUELINET ETABLISSEMENT PUBLIC MAISON DE RETRAITE MARCEL JACQUELINET,Très probable
17,Directeur / directrice,Vinça,Pyrénées-Orientales,Occitanie,Vinça,EHPAD de Vinça (Pyrénées-Orientales),660790304,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,42.64326629695228,2.5249144715753915,42.64326629695228,2.5249144715753915,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Vinça (Pyrénées-Orientales),EHPAD FRANCIS CATALA EHPAD FRANCIS CATALA,Probable - à contrôler
18,Directeur / directrice,Mulhouse,Haut-Rhin,Grand Est,Mulhouse,EHPAD de Mulhouse et de Rieddisheim (Haut-Rhin),680002276,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.753693281812986,7.340036828785907,47.753693281812986,7.340036828785907,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Mulhouse et de Rieddisheim (Haut-Rhin),EHPAD BETHESDA MULHOUSE EHPAD BETHESDA MULHOUSE,Très probable
19,Directeur / directrice,Neuvic d’Ussel,Corrèze,Nouvelle-Aquitaine,Neuvic d’Ussel,EHPAD de Neuvic d’Ussel (Corrèze),190002170,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,45.37266739605338,1.865241708172555,45.37266739605338,1.865241708172555,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Neuvic d’Ussel (Corrèze),EHPAD DE CORREZE EHPAD DE CORREZE,Très probable
20,Directeur / directrice,Saint-Vulbas,Ain,Auvergne-Rhône-Alpes,Saint-Vulbas,"EHPAD de Saint-Vulbas, d’Ambérieu, de Tenay, de Pont-d’Ain et de Saint-Rambert (Ain)",010788669,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,45.83639869816608,5.294010447903459,45.83639869816608,5.294010447903459,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,"EHPAD de Saint-Vulbas, d’Ambérieu, de Tenay, de Pont-d’Ain et de Saint-Rambert (Ain)",EHPAD RESIDENCE CLAIRES FONTAINES EHPAD RÉSIDENCE CLAIRES FONTAINES ST VULBAS,Probable - à contrôler
21,Directeur / directrice,Terrasson-Lavilledieu,Dordogne,Nouvelle-Aquitaine,Terrasson-Lavilledieu,EHPAD de Terrasson-Lavilledieu (Dordogne),240008714,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,45.13045202209568,1.2933800697364306,45.13045202209568,1.2933800697364306,Coordonnées FINESS géolocalisées,"1,ATLASANTE,87,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Terrasson-Lavilledieu (Dordogne),EHPAD RESIDENCE DES QUATRE SAISONS EHPAD RESIDENCE DES QUATRE SAISONS,Probable - à contrôler
22,Directeur / directrice,Villefranche-sur-Mer,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,Villefranche-sur-Mer,EHPAD et SSIAD de Villefranche-sur-Mer (Alpes-Maritimes),060781465,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,43.71070786070837,7.321710906943612,43.71070786070837,7.321710906943612,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD et SSIAD de Villefranche-sur-Mer (Alpes-Maritimes),EHPAD LA SOFIETA EHPAD LA SOFIETA (EX EHPAD DE VILLEFRANCHE SUR MER),Très probable
23,Directeur / directrice,Jonquières,Vaucluse,Provence-Alpes-Côte d'Azur,Jonquières,EHPAD de Jonquières et de Sarrians (Vaucluse),840002133,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,44.112380911361775,4.900899221040645,44.112380911361775,4.900899221040645,Coordonnées FINESS géolocalisées,"1,ATLASANTE,95,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Jonquières et de Sarrians (Vaucluse),EHPAD INTERCOM. COURTHEZON-JONQUIERES E.H.P.A.D INTERCOMMUNAL DE COURTHEZON JONQUIERES -SITE JONQU,Très probable
24,Directeur / directrice,Bussière-Dunoise,Creuse,Nouvelle-Aquitaine,Bussière-Dunoise,EHPAD de Bussière-Dunoise (Creuse),230781676,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,46.260065557352135,1.7576408071003058,46.260065557352135,1.7576408071003058,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Bussière-Dunoise (Creuse),EHPAD RESIDENCE PIERRE GUILBAUD EHPAD RESIDENCE PIERRE GUILBAUD,Très probable
25,Directeur / directrice,Baume-les-Dames,Doubs,Bourgogne-Franche-Comté,Baume-les-Dames,centre hospitalier Sainte Croix à Baume-les-Dames et EHPAD de Rougemont (Doubs),250000635,4,2025,Chef d'établissement,Sanitaire,EHPAD sanitaire,47.35201745102154,6.357420210431956,47.35201745102154,6.357420210431956,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,centre hospitalier Sainte Croix à Baume-les-Dames et EHPAD de Rougemont (Doubs),CH SAINTE CROIX BAUME LES DAMES,Très probable
26,Directeur / directrice,Toucy,Yonne,Bourgogne-Franche-Comté,Toucy,EHPAD de Toucy (Yonne),890002215,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.74071437864667,3.3021525422068154,47.74071437864667,3.3021525422068154,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Toucy (Yonne),EHPAD TOUCY DE LA CROIX DES VIGNES EHPAD DE TOUCY,Très probable
27,Directeur / directrice,Chalus,Haute-Vienne,Nouvelle-Aquitaine,Chalus,EHPAD de Chalus et de Nexon (Haute-Vienne),870003787,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,45.661554109304205,0.982437999509718,45.661554109304205,0.982437999509718,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Chalus et de Nexon (Haute-Vienne),EHPAD RESIDENCE LE NID EHPAD RESIDENCE LE NID,Probable - à contrôler
28,Directeur / directrice,Joyeuse,Ardèche,Auvergne-Rhône-Alpes,Joyeuse,centre hospitalier des Cévennes Ardéchoises à Joyeuse (Ardèche),070000021,4,2025,Chef d'établissement,Sanitaire,Établissement sanitaire,44.47851764194202,4.2419569095185485,44.47851764194202,4.2419569095185485,Coordonnées FINESS géolocalisées,"2,ATLASANTE,87,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,centre hospitalier des Cévennes Ardéchoises à Joyeuse (Ardèche),CH DE JOYEUSE CENTRE HOSPITALIER DE JOYEUSE,Très probable
29,Directeur / directrice,Château-Renard,Loiret,Centre-Val de Loire,Château-Renard,EHPAD de Château-Renard (Loiret),450011572,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.92454350051599,2.9216919020485266,47.92454350051599,2.9216919020485266,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Château-Renard (Loiret),SAAD DE CHATEAU-RENARD SAAD DE CHATEAU-RENARD,Très probable
30,Directeur / directrice,Cérilly,Allier,Auvergne-Rhône-Alpes,Cérilly,EHPAD de Cérilly (Allier),030780936,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,46.61775127377218,2.822181453229674,46.61775127377218,2.822181453229674,Coordonnées FINESS géolocalisées,"3,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Cérilly (Allier),EHPAD LA VIGNE AU BOIS,Probable - à contrôler
31,Directeur / directrice,Montmirail,Sarthe,Pays de la Loire,Montmirail,EHPAD de Montmirail (Sarthe),720002146,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.10203003860961,0.790272599259597,48.10203003860961,0.790272599259597,Coordonnées FINESS géolocalisées,"2,ATLASANTE,87,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,EHPAD de Montmirail (Sarthe),EHPAD L'ARC EN CIEL EHPAD L'ARC EN CIEL,Probable - à contrôler
32,Directeur / directrice,Roquevaire Auriol,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,Roquevaire Auriol,maison de retraite publique intercommunale de Roquevaire Auriol (Bouches-du-Rhône),130782485,4,2025,Chef d'établissement,Non précisé,Non précisé,43.34949231417755,5.603725694062844,43.34949231417755,5.603725694062844,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf-150425,Non renseigné,maison de retraite publique intercommunale de Roquevaire Auriol (Bouches-du-Rhône),MDR PUBLIQUE DE ROQUEVAIRE MAISON DE RETRAITE PUBLIQUE DE ROQUEVAIRE,Très probable
33,Directeur / directrice,Corconne,Gard,Occitanie,Corconne,EHPAD de Corconne et de Quissac (Gard),300781150,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,43.872344018711885,3.939972671449336,43.872344018711885,3.939972671449336,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/mvt-chef-avril-25additif-1,Retrait de l'avis du 15/04/2025,EHPAD de Corconne et de Quissac (Gard),EHPAD LE BRESTALOU EHPAD LE BRESCALOU,Possible - contrôle nécessaire
34,Directeur / directrice,Millau,Aveyron,Occitanie,Millau,EHPAD de Millau (Aveyron),120785845,4,2025,Chef d'établissement,Médico-social,EHPAD autonome,44.1032075084373,3.0766141238281595,44.1032075084373,3.0766141238281595,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/mvt-chef-avril-25additif-2,Retrait de l'avis du 15/04/2025,EHPAD de Millau (Aveyron),CTRE REEDUCATION PROF MILLAU INSTITUT INFORMATIQUE SUD AVEYRON CENTRE DE RECLASSEMENT PRO,Très probable
35,Directeur / directrice,Châteauroux,Indre,Centre-Val de Loire,Châteauroux,établissement public départemental Blanche de Fontarce à Châteauroux (Indre),360007397,7,2025,Chef d'établissement,Médico-social,Handicap adulte,46.81512778639354,1.7225300953405014,46.81512778639354,1.7225300953405014,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,établissement public départemental Blanche de Fontarce à Châteauroux (Indre),ESAT DE CHATEAUROUX ESAT DE CHATEAUROUX,Très probable
36,Directeur / directrice,Saint-Martin-d’Hères,Isère,Auvergne-Rhône-Alpes,Saint-Martin-d’Hères,établissement social de travail et d’hébergement Isérois pour personnes en situation de handicap (ESTHI) à Saint-Martin-d’Hères et établissement public Isérois de services aux enfants et adolescents handicapés (EPISEAH) à Claix (Isère),380800300,7,2025,Chef d'établissement,Médico-social,Médico-social,45.16953586641617,5.756175310005093,45.16953586641617,5.756175310005093,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,établissement social de travail et d’hébergement Isérois pour personnes en situation de handicap (ESTHI) à Saint-Martin-d’Hères et établissement public Isérois de services aux enfants et adolescents handicapés (EPISEAH) à Claix (Isère),CMP ENFANTS SAINT MARTIN D'HERES CMP ENFANTS SAINT MARTIN D'HERES,Très probable
37,Directeur / directrice,Cesny-les-sources,Calvados,Normandie,Cesny-les-sources,EHPAD de Cesny-les-sources (Calvados),140002098,7,2025,Chef d'établissement,Sanitaire,EHPAD sanitaire,48.987383206156295,-0.378219656261021,48.987383206156295,-0.378219656261021,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD de Cesny-les-sources (Calvados),"EHPAD ""SAINT JACQUES & ST CHRISTOPHE"" EHPAD ""SAINT JACQUES ET SAINT CHRISTOPHE""-CESNY-BOIS-HALBOUT",Probable - à contrôler
38,Directeur / directrice,Dun-Le-Palestel,Creuse,Nouvelle-Aquitaine,Dun-Le-Palestel,EHPAD de Dun-Le-Palestel (Creuse),Non publié dans l'avis,7,2025,Chef d'établissement,Médico-social,EHPAD autonome,46.09,2.05,Non renseigné,Non renseigné,Approximation départementale à géocoder précisément,Non renseigné,https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD de Dun-Le-Palestel (Creuse),Non renseigné,Non retenu - score insuffisant
39,Directeur / directrice,Saint-Ouen,Seine-Saint-Denis,Île-de-France,Saint-Ouen,EHPAD d’Aubervilliers et de Saint-Ouen (Seine-Saint-Denis),930030028,7,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.93052178619998,2.356360687958308,48.93052178619998,2.356360687958308,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD d’Aubervilliers et de Saint-Ouen (Seine-Saint-Denis),CDS DE SAINT DENIS CDS DE SAINT DENIS,Très probable
40,Directeur / directrice,Plaintel,Côtes-d’Armor,Bretagne,Plaintel,établissement public social et médico-social de Plaintel (Côtes-d’Armor),Non publié dans l'avis,7,2025,Chef d'établissement,Médico-social,Médico-social,48.44,-2.86,Non renseigné,Non renseigné,Approximation départementale à géocoder précisément,Non renseigné,https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,établissement public social et médico-social de Plaintel (Côtes-d’Armor),Non renseigné,Non retenu - score insuffisant
41,Directeur / directrice,Aix-Villemaur-Pâlis,Aube,Grand Est,Aix-Villemaur-Pâlis,EHPAD d’Aix-Villemaur-Pâlis (ex Aix-en-Othe) (Aube),100001445,7,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.22297952384901,3.733403582067805,48.22297952384901,3.733403582067805,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD d’Aix-Villemaur-Pâlis (ex Aix-en-Othe) (Aube),SELARL PHARMACIE D'AIX SELARL PHARMACIE D'AIX,Possible - contrôle nécessaire
42,Directeur / directrice,Longvic,Côte-d’Or,Bourgogne-Franche-Comté,Longvic,EHPAD de Longvic (Côte-d’Or),210985362,7,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.29757871211604,5.052678134182358,47.29757871211604,5.052678134182358,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD de Longvic (Côte-d’Or),EHPAD MARCEL JACQUELINET ETABLISSEMENT PUBLIC MAISON DE RETRAITE MARCEL JACQUELINET,Très probable
43,Directeur / directrice,Aubigny-sur-Nère,Cher,Centre-Val de Loire,Aubigny-sur-Nère,EHPAD d’Aubigny-sur-Nère (Cher),180007692,7,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.47502925726787,2.439646428206937,47.47502925726787,2.439646428206937,Coordonnées FINESS géolocalisées,"2,ATLASANTE,81,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD d’Aubigny-sur-Nère (Cher),ESAT ANAIS D'AUBIGNY SUR NERE ESAT ANAIS D'AUBIGNY SUR NERE,Très probable
44,Directeur / directrice,Gorron,Mayenne,Pays de la Loire,Gorron,EHPAD de Gorron et de Le Pas (Mayenne),530002351,7,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.40984377727399,-0.8148613134395933,48.40984377727399,-0.8148613134395933,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD de Gorron et de Le Pas (Mayenne),EHPAD SAINT LAURENT EHPAD RESIDENCE SAINT LAURENT,Probable - à contrôler
45,Directeur / directrice,Terres-de-Caux,Seine-Maritime,Normandie,Terres-de-Caux,EHPAD de Terres-de-Caux (Fauville-en-Caux) et de Grainville-la-Teinturière (Seine-Maritime),760782284,7,2025,Chef d'établissement,Médico-social,EHPAD autonome,49.65266552964975,0.5977164000099551,49.65266552964975,0.5977164000099551,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jorf010725avis,Non renseigné,EHPAD de Terres-de-Caux (Fauville-en-Caux) et de Grainville-la-Teinturière (Seine-Maritime),EHPAD BOUIC MANOURY DE FAUVILLE EHPAD BOUIS MANOURY FAUVILLE EN CAUX,Très probable
