id,poste,ville,departement,region,lieux_poste,etablissements,finess,mois_parution,annee_parution,categorie,type_structure,type_etablissement,latitude,longitude,latitude_finess,longitude_finess,qualite_coordonnees,source_coordonnees,source,observations,texte_source_poste,raison_sociale_finess,qualite_appariement_finess
179,Directeur / directrice,Fleurance,Gers,Occitanie,Fleurance,Etablissement public de santé de Lomagne à Fleurance (Gers),320000110,11,2025,Chef d'établissement,Non précisé,Non précisé,43.855542129685375,0.6594915670485518,43.855542129685375,0.6594915670485518,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-chef-d3s-27/11,Non renseigné,Etablissement public de santé de Lomagne à Fleurance (Gers),EPS LOMAGNE SITE DE FLEURANCE ETABLISSEMENT PUBLIC DE SANTE LOMAGNE SITE DE FLEURANCE,Très probable
180,Directeur / directrice,Campan,Hautes-Pyrénées,Occitanie,Campan,Centre Jean-Marie Larrieu à Campan (Hautes-Pyrénées),650780208,11,2025,Chef d'établissement,Médico-social,Handicap enfant,43.01983299702134,0.1716108669517511,43.01983299702134,0.1716108669517511,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-chef-d3s-27/11,Non renseigné,Centre Jean-Marie Larrieu à Campan (Hautes-Pyrénées),CTRE JEAN-MARIE LARRIEU-IME JM LARRIEU CENTRE JEAN-MARIE LARRIEU - INSTITUT MEDICO-EDUCATIF CAMPAN,Très probable
181,Directeur / directrice,Saint-Trivier-de-Courtes,Ain,Auvergne-Rhône-Alpes,Saint-Trivier-de-Courtes,EHPAD de Saint-Trivier-de-Courtes (Ain),010007425,11,2025,Chef d'établissement,Médico-social,EHPAD autonome,46.457801682162696,5.078020538943004,46.457801682162696,5.078020538943004,Coordonnées FINESS géolocalisées,"2,ATLASANTE,91,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-chef-d3s-27/11,Non renseigné,EHPAD de Saint-Trivier-de-Courtes (Ain),SSIAD EHPAD SAINT-TRIVIER-DE-COURTES,Très probable
182,Directeur / directrice,Cours,Rhône,Auvergne-Rhône-Alpes,Cours,Centre hospitalier du Beaujolais Vert à Cours et EHPAD de Cublize (Rhône),690797824,11,2025,Chef d'établissement,Sanitaire,EHPAD sanitaire,46.08684796558676,4.31147015565216,46.08684796558676,4.31147015565216,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-chef-d3s-27/11,Non renseigné,Centre hospitalier du Beaujolais Vert à Cours et EHPAD de Cublize (Rhône),EHPAD DE COURS EHPAD DE COURS,Très probable
183,Directeur / directrice,Non renseigné,Haute-Savoie,Auvergne-Rhône-Alpes,Haute-Savoie,EHPAD Salèves-Glières (Haute-Savoie),740790191,11,2025,Chef d'établissement,Médico-social,EHPAD autonome,46.007482297619376,6.171410965053705,46.007482297619376,6.171410965053705,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-chef-d3s-30/11,Non renseigné,EHPAD Salèves-Glières (Haute-Savoie),EHPAD DES GLIERES,Très probable
184,Directeur / directrice,Saint-Maur,Val-de-Marne,Île-de-France,Saint-Maur,"direction commune des établissements ABCD (l’Abbaye à Saint-Maur, Bords de Marne à Bonneuil, Cristolienne à Créteil et un service autonomie à domicile soins), l’EHPAD la Cité Verte à Sucy-en-Brie, l’EHPAD Pierre Tabanou à l’Haÿ-les-Roses et l’EHPAD Soleil (Val-de-Marne)",940022049,12,2025,Chef d'établissement,Médico-social,EHPAD autonome,48.78646027652497,2.460414400451428,48.78646027652497,2.460414400451428,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-chef-d3s-04/12,Non renseigné,"direction commune des établissements ABCD (l’Abbaye à Saint-Maur, Bords de Marne à Bonneuil, Cristolienne à Créteil et un service autonomie à domicile soins), l’EHPAD la Cité Verte à Sucy-en-Brie, l’EHPAD Pierre Tabanou à l’Haÿ-les-Roses et l’EHPAD Soleil (Val-de-Marne)",EHPAD LA CRISTOLIENNE EHPAD LA CRISTOLIENNE,Très probable
185,Directeur / directrice,Château-Renard,Loiret,Centre-Val de Loire,Château-Renard,EHPAD de Château-Renard (Loiret),450011572,12,2025,Chef d'établissement,Médico-social,EHPAD autonome,47.92454350051599,2.9216919020485266,47.92454350051599,2.9216919020485266,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/jo-chef-d3s-04/12,Non renseigné,EHPAD de Château-Renard (Loiret),SAAD DE CHATEAU-RENARD SAAD DE CHATEAU-RENARD,Très probable
186,"directeur adjoint en charge de la démarche qualité, du respect des droits des usagers, et assurant une direction déléguée sur le pôle personnes âgées et pôle enfance",Non renseigné,Côtes-d’Armor,Bretagne,Non renseigné,EPMS Belna (Côte d’Armor),220000392,12,2025,Directeur adjoint,Médico-social,EPMS / EPSMS,48.16237676507213,-2.5878022631301483,48.16237676507213,-2.5878022631301483,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"EPMS Belna (Côte d’Armor), un emploi de directeur adjoint en charge de la démarche qualité, du respect des droits des usagers, et assurant une direction déléguée sur le pôle personnes âgées et pôle enfance",IME BELNA,Possible - contrôle nécessaire
187,directeur adjoint en charge du secteur médico-social du centre hospitalier de SAINT-SEVER,Marsan,Landes,Nouvelle-Aquitaine,Marsan,centre hospitalier Saint Sever et EHPAD Villeneuve de Marsan (Landes),400000105,12,2025,Directeur adjoint,Sanitaire,EHPAD sanitaire,43.71321521982146,-1.0467308497715286,43.71321521982146,-1.0467308497715286,Coordonnées FINESS géolocalisées,"2,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"centre hospitalier Saint Sever et EHPAD Villeneuve de Marsan (Landes), un emploi de directeur adjoint en charge du secteur médico-social du centre hospitalier de SAINT-SEVER",CENTRE HOSPITALIER DAX CENTRE HOSPITALIER DE DAX,Très probable
188,directeur adjoint,Indre,Indre-et-Loire,Centre-Val de Loire,Indre,Institut départemental de l’enfance et de la famille d’Indre et Loire (Indre-et-Loire),370004764,12,2025,Directeur adjoint,Médico-social,Handicap adulte,47.43580190297264,0.6343435775704865,47.43580190297264,0.6343435775704865,Coordonnées FINESS géolocalisées,"1,ATLASANTE,100,IGN,BD_ADRESSE,V2.2,LAMBERT_93",https://www.cng.sante.fr/documents/publi-da-d3s-1812,Non renseigné,"Institut départemental de l’enfance et de la famille d’Indre et Loire (Indre-et-Loire), un emploi de directeur adjoint",INST. DEPART. ENFANCE & FAMILLE INSTITUT DEPARTEMENTAL DE L'ENFANCE ET DE LA FAMILLE,Très probable
